"brewery name"	"product name"	"cask size"	"cask count"	"order batch"	"festival year"	"festival name"	"distributor name"
"Fellows"	"Clever Fellow"	9	4	"Reorder 1"	2012	"39th Cambridge Beer Festival"	"Fellows"
"BlackBar"	"Blacklight"	9	2	"Reorder 1"	2012	"39th Cambridge Beer Festival"	"BlackBar"
"Milton"	"Tiki"	9	2	"Reorder 1"	2012	"39th Cambridge Beer Festival"	"Milton"
"Milton"	"Justinian"	9	3	"Reorder 1"	2012	"39th Cambridge Beer Festival"	"Milton"
"Milton"	"Karolides"	9	3	"Reorder 1"	2012	"39th Cambridge Beer Festival"	"Milton"
"Milton"	"Pegasus"	9	3	"Reorder 1"	2012	"39th Cambridge Beer Festival"	"Milton"
"#Milton"	"Dionysus"	9	3	"Reorder 1"	2012	"39th Cambridge Beer Festival"	"#Milton"
"Brentwood"	"BBC2"	9	2	"Reorder 1"	2012	"39th Cambridge Beer Festival"	"Brentwood"
"Brentwood"	"Chockwork Orange"	9	2	"Reorder 1"	2012	"39th Cambridge Beer Festival"	"Brentwood"
"Brentwood"	"Summer Virgin"	9	2	"Reorder 1"	2012	"39th Cambridge Beer Festival"	"Brentwood"
